Movie,Budget,Gross,Dislikes,Sentiment,Comments,Screens,Ratings
13 Sins,4000000.0,9130,425,0,636.0,45.0,6.3
22 Jump Street,50000000.0,192000000,61,2,186.0,3306.0,7.1
3 Days to Kill,28000000.0,30700000,34,0,47.0,2872.0,6.2
300: Rise of an Empire,110000000.0,106000000,132,0,590.0,3470.0,6.3
A Haunted House 2,3500000.0,17300000,610,0,1082.0,2310.0,4.7
A Long Way Off,500000.0,29000,7,0,1.0,2777.0,4.6
A Million Ways to Die in the West,40000000.0,42600000,419,0,1020.0,3158.0,6.1
A Most Violent Year,20000000.0,5750000,197,2,593.0,818.0,7.1
A Walk Among the Tombstones,28000000.0,26000000,419,3,382.0,2714.0,6.5
About Last Night,12500000.0,48600000,532,0,770.0,2253.0,6.1
American Sniper,58800000.0,350000000,573,4,3134.0,3555.0,7.3
And So It Goes,30000000.0,15200000,94,0,70.0,1762.0,5.7
Annabelle,6500000.0,84300000,4382,0,4392.0,3185.0,5.4
Annie,65000000.0,85900000,707,0,1484.0,3116.0,5.2
Atlas Shrugged: Who Is John Galt?,5000000.0,830000,36,0,39.0,65.0,4.4
Barefoot,6000000.0,11800,247,2,460.0,18.0,6.6
Better Living Through Chemistry,5000000.0,72300,146,0,182.0,25.0,6.3
Beyond the Lights,7000000.0,14600000,235,0,685.0,31.0,6.9
Big Hero 6,165000000.0,222000000,538,29,1293.0,3761.0,7.9
Black or White,9000000.0,21600000,307,-1,1033.0,1823.0,6.6
Blended,40000000.0,46300000,1940,-2,2214.0,3555.0,6.5
Boyhood,4000000.0,25400000,207,9,741.0,771.0,8.0
Brick Mansions,28000000.0,20300000,255,0,1235.0,2647.0,5.7
Cake,7000000.0,1870000,454,2,1150.0,482.0,6.5
Camp X-Ray,1000000.0,9840,0,3,0.3000000000000002,2777.0,7.0
Cantinflas,3000000.0,6370000,558,3,2296.0,382.0,6.7
Captain America: The Winter Soldier,170000000.0,260000000,66,5,837.0,3938.0,7.8
Dawn of the Planet of the Apes,170000000.0,209000000,187,-4,889.0,3967.0,7.7
Deliver Us from Evil,30000000.0,30500000,72,0,162.0,97.0,6.2
Devil's Due,7000000.0,15800000,581,0,729.0,2544.0,4.0
Divergent,85000000.0,151000000,152,-4,987.0,3936.0,6.8
Dolphin Tale 2,36000000.0,42000000,129,-1,228.0,3376.0,6.4
Dracula Untold,70000000.0,55900000,1342,0,5278.0,2777.0,6.3
Draft Day,27000000.0,28800000,153,0,227.0,2781.0,6.8
Dumb and Dumber To,35000000.0,86200000,446,0,1122.0,3154.0,5.8
Earth to Echo,13000000.0,38900000,553,0,643.0,3230.0,5.8
Edge of Tomorrow,178000000.0,100000000,1730,0,6439.0,3490.0,7.9
Endless Love,20000000.0,23400000,1343,1,2577.0,2800.0,6.3
Falcon Rising,4500000.0,8690,98,0,92.0,2777.0,5.7
Foxcatcher,24000000.0,1210000,467,6,1580.0,66.0,7.1
Fury,68000000.0,85700000,331,3,1286.0,3313.0,7.6
God Help the Girl,1850000.0,102000,181,-4,374.0,8.0,6.4
God's Not Dead,2000000.0,60800000,413,0,890.0,780.0,5.0
God's Pocket,1000000.0,104000,10,0,12.0,3.0,6.1
Godzilla,160000000.0,201000000,112,2,547.0,3952.0,6.5
Gone Girl,61000000.0,168000000,58,-11,342.0,3014.0,8.2
Guardians of the Galaxy,170000000.0,333000000,269,0,1285.0,4080.0,8.1
Happy Christmas,160000.00000000006,30100,107,0,132.0,9.0,5.6
Heaven Is for Real,12000000.0,91400000,34,-9,133.0,2417.0,5.8
Hercules,100000000.0,72700000,1130,-2,3925.0,3595.0,6.1
Horrible Bosses 2,42000000.0,54400000,124,-1,362.0,93.0,6.3
How to Train Your Dragon 2,145000000.0,177000000,862,3,2863.0,4253.0,7.9
If I Stay,11000000.0,50500000,924,14,3609.0,1272.0,6.8
In the Name of My Daughter,8932779.93,275000,0,0,0.3000000000000002,6.0,6.1
Inherent Vice,20000000.0,8090000,82,1,797.0,645.0,6.7
Interstellar,165000000.0,188000000,751,2,4316.0,3561.0,8.7
Into the Storm,50000000.0,47600000,569,0,3058.0,3434.0,5.8
Into the Woods,50000000.0,128000000,112,-4,346.0,2440.0,6.0
It Follows,2000000.0,14700000,1,-9,1.0,4.0,6.9
Jack Ryan: Shadow Recruit,60000000.0,50500000,347,4,1105.0,3387.0,6.2
Jersey Boys,40000000.0,47000000,133,10,543.0,2905.0,6.9
John Wick,20000000.0,43000000,405,0,2732.0,2589.0,7.2
Kill the Messenger,5000000.0,2450000,234,0,1119.0,374.0,7.0
Kingsman: The Secret Service,81000000.0,128000000,944,0,6946.0,3204.0,7.8
Kung Fu Jungle,25000000.0,129000,17,-2,9.0,28.0,6.5
Left Behind,16000000.0,14000000,2111,0,7595.0,1825.0,3.1
Let's Be Cops,17000000.0,82400000,546,-5,909.0,1534.0,6.5
Life After Beth,2400000.0,8300,193,0,335.0,2777.0,5.7
Locker 13,300000.0,5990,4,0,2.0,3.0,4.8
Lucy,40000000.0,127000000,167,1,311.0,3173.0,6.4
Maleficent,180000000.0,241000000,135,0,464.0,3948.0,7.0
Maps to the Stars,15000000.0,348000,39,0,71.0,66.0,6.3
Million Dollar Arm,25000000.0,36400000,168,27,511.0,3019.0,7.1
Moms' Night Out,5000000.0,10400000,38,0,44.0,1044.0,5.4
Mr. Peabody & Sherman,145000000.0,112000000,45,13,88.0,3934.0,6.9
Muppets Most Wanted,50000000.0,51200000,564,-1,1061.0,3194.0,6.5
My Old Lady,5000000.0,4010000,50,0,45.0,255.0,6.3
Need for Speed,66000000.0,43600000,533,5,2305.0,3115.0,6.6
Neighbors,18000000.0,150000000,298,2,693.0,3279.0,6.4
Night at the Museum: Secret of the Tomb,127000000.0,114000000,362,2,1221.0,22.0,6.3
Nightcrawler,8500000.0,32300000,543,-1,2170.0,2766.0,7.9
No Good Deed,13200000.0,52500000,118,0,387.0,2130.0,5.6
Noah,125000000.0,101000000,3812,6,15389.5999999999,3567.0,5.9
Non-Stop,50000000.0,91400000,19,0,37.0,3090.0,7.0
Not Cool,600000.0,35700,3145,0,15389.5999999999,2777.0,5.2
Ouija,5000000.0,50800000,2150,-4,4926.0,2061.0,4.4
Paddington,55000000.0,76100000,500,14,665.0,3303.0,7.2
Paranormal Activity: The Marked Ones,5000000.0,32500000,45,0,85.0,2867.0,5.0
Penguins of Madagascar,132000000.0,83300000,123,8,226.0,32.0,6.8
Planes: Fire & Rescue,50000000.0,59200000,485,0,626.0,3826.0,5.9
Pompeii,100000000.0,23200000,106,0,267.0,2658.0,5.6
Ride Along,25000000.0,134000000,977,0,2195.0,2663.0,6.1
Rio 2,103000000.0,132000000,704,4,1151.0,3948.0,6.4
RoboCop,100000000.0,58600000,1077,7,4319.0,3372.0,6.2
Rosewater,5000000.0,3090000,186,1,632.0,371.0,6.6
Rudderless,5000000.0,37400,89,0,432.0,2777.0,7.5
Sabotage,35000000.0,10500000,411,17,977.0,2486.0,5.7
Selma,20000000.0,52100000,565,-5,4973.0,2179.0,7.5
Serena,30000000.0,176000,405,0,1074.0,59.0,5.4
Seventh Son,95000000.0,17200000,5,0,5.0,2875.0,5.5
Sex Tape,40000000.0,38500000,418,0,251.0,3062.0,5.1
Sin City: A Dame to Kill For,65000000.0,13800000,627,0,2796.0,2894.0,6.6
Son of God,22000000.0,59700000,325,2,1401.0,3260.0,5.5
Song One,6000000.0,20200,184,0,373.0,27.0,5.8
St. Vincent,13000000.0,44100000,310,20,885.0,18.0,7.3
Taken 3,48000000.0,89300000,136,6,380.0,21.0,6.1
Tammy,20000000.0,84500000,675,0,727.0,3465.0,4.8
Teenage Mutant Ninja Turtles,125000000.0,191000000,3439,0,8533.0,3845.0,5.9
That Awkward Moment,8000000.0,26000000,653,0,846.0,2809.0,6.1
The Admiral,9500000.0,2590000,43,3,308.0,1586.0,7.1
The Amazing Spider-Man 2,200000000.0,203000000,233,6,864.0,4324.0,6.8
The Babadook,2000000.0,924000,890,-3,2928.0,147.0,6.9
The Best of Me,26000000.0,26800000,535,3,1271.0,8.0,6.6
The Book of Life,50000000.0,50200000,871,9,3229.0,12.0,7.3
The Boxtrolls,60000000.0,50800000,378,5,554.0,3464.0,6.8
The Devil's Hand,7000000.0,5990,52,0,92.0,2777.0,4.8
The Drop,12600000.0,10700000,153,-1,569.0,809.0,7.1
The Equalizer,55000000.0,102000000,574,0,1966.0,3236.0,7.2
The Expendables 3,90000000.0,39300000,1336,0,5005.0,90.0,6.1
The Fault in Our Stars,12000000.0,125000000,4752,7,15389.5999999999,3173.0,7.9
The Fluffy Movie: Unity Through Laughter,28000000.0,2820000,1,0,1.0,432.0,7.0
The Gambler,25000000.0,33600000,454,-2,773.0,103.0,6.1
The Giver,25000000.0,45100000,149,6,565.0,702.0,6.5
The Good Lie,20000000.0,2720000,211,10,564.0,461.0,7.4
The Hobbit: The Battle of the Five Armies,206999999.99999988,255000000,262,3,1782.0,3875.0,7.5
The Homesman,16000000.0,2430000,1,2,8.0,4.0,6.6
The Hundred-Foot Journey,22000000.0,54200000,12,11,52.0,2023.0,7.3
The Hunger Games: Mockingjay - Part 1,125000000.0,337000000,332,2,1176.0,4151.0,6.8
The Identical,12000000.0,2820000,97,0,113.0,2777.0,5.0
The Imitation Game,14000000.0,91100000,253,9,1237.0,747.0,8.1
The Interview,44000000.0,6110000,1265,0,3430.0,78.0,6.7
The Judge,50000000.0,47100000,104,2,378.0,3003.0,7.5
The Legend of Hercules,70000000.0,18800000,630,0,456.0,2104.0,4.2
The Lego Movie,60000000.0,258000000,105,-2,289.0,3775.0,7.8
The Loft,14000000.0,5980000,27,2,43.0,1841.0,6.3
The Maze Runner,34000000.0,102000000,213,2,2753.0,173.0,6.8
The Monuments Men,70000000.0,78000000,1,0,0.3000000000000002,3083.0,6.1
The November Man,15000000.0,25000000,155,0,567.0,2776.0,6.3
The Nut Job,42000000.0,64200000,546,0,554.0,3427.0,5.8
The One I Love,160000.00000000006,512000,148,2,239.0,20.0,7.1
The Other Woman,40000000.0,83900000,2233,-1,3479.0,3205.0,6.0
The Purge: Anarchy,9000000.0,71500000,193,-3,882.0,2805.0,6.5
The Pyramid,6500000.0,2750000,794,0,2046.0,685.0,4.7
The Rover,12250000.0,1110000,0,0,1.0,5.0,6.4
The Salvation,11712310.56,5990,11,0,58.0,2.0,6.8
The Theory of Everything,15000000.0,35900000,261,8,2104.0,15.0,7.8
The Water Diviner,22500000.0,4190000,445,7,2099.0,320.0,7.2
The Woman in Black 2: Angel of Death,1000000.0,26500000,1,-6,9.0,2602.0,4.9
Think Like a Man Too,24000000.0,65200000,336,0,346.0,2225.0,5.7
Transcendence,100000000.0,23000000,1459,0,6811.0,3455.0,6.3
Transformers: Age of Extinction,206999999.99999988,245000000,362,0,230.0,4233.0,5.8
Tusk,2800000.0,1820000,104,0,380.0,449.0,5.4
Unbroken,65000000.0,116000000,815,0,3403.0,3131.0,7.2
Veronica Mars,6000000.0,3320000,166,10,232.0,291.0,6.8
When the Game Stands Tall,15000000.0,30100000,56,0,82.0,794.0,6.6
Whiplash,3300000.0,13100000,631,2,2760.0,42.0,8.6
White God,2487820.27,280000,36,11,70.0,2.0,6.9
Wild,15000000.0,37900000,649,0,1333.0,1061.0,7.2
Wild Tales,3300000.0,3080000,39,7,429.0,4.0,8.2
Winter's Tale,60000000.0,22500,76,0,189.0,2965.0,6.2
Wish I Was Here,6000000.0,3590000,79,0,67.0,68.0,6.7
X-Men: Days of Future Past,200000000.0,234000000,0,3,1.0,3996.0,8.1
Yves Saint Laurent,12000000.0,717000,44,0,77.0,2.0,6.2
Jurassic World,150000000.0,350000000,1074,1,5107.0,4274.0,7.3
Avengers: Age of Ultron,206999999.99999988,350000000,989,21,3843.0,4276.0,7.8
Furious 7,190000000.0,350000000,8,-17,39.0,4004.0,7.4
Inside Out,175000000.0,345000000,262,2,496.0,3946.0,8.6
Minions,74000000.0,325000000,764,-2,48.0,4301.0,6.6
Pitch Perfect 2,29000000.0,183000000,998,1,1987.0,3473.0,6.7
Mission: Impossible - Rogue Nation,150000000.0,171000000,649,3,1842.0,3956.0,7.8
Home,135000000.0,177000000,1675,-2,3426.0,3708.0,6.7
Fifty Shades of Grey,40000000.0,166000000,13960,9,9119.0,3646.0,4.2
The SpongeBob Movie: Sponge Out of Water,74000000.0,162000000,1840,0,1281.0,3641.0,6.1
San Andreas,110000000.0,154000000,2210,3,7559.0,3777.0,6.4
Mad Max: Fury Road,150000000.0,153000000,497,-4,1774.0,3702.0,8.3
Straight Outta Compton,28000000.0,135000000,237,5,1560.0,2757.0,8.3
Insurgent,110000000.0,130000000,5746,-6,66.0,3875.0,6.4
Spy,65000000.0,110000000,750,0,1666.0,3711.0,7.3
Trainwreck,35000000.0,105000000,2581,1,2955.0,3158.0,6.7
Tomorrowland,190000000.0,93200000,66,1,250.0,3972.0,6.6
Get Hard,40000000.0,90400000,1418,6,2395.0,3175.0,6.1
Terminator Genisys,155000000.0,89400000,13,1,63.0,3758.0,6.8
Ted 2,68000000.0,81300000,984,5,1767.0,3442.0,6.6
Paul Blart: Mall Cop 2,30000000.0,71000000,935,15,892.0,90.0,4.3
Pixels,88000000.0,71000000,2007,10,3717.0,3723.0,5.6
Magic Mike XXL,14800000.0,65900000,858,7,1579.0,3355.0,6.2
The Wedding Ringer,23000000.0,64500000,478,-8,755.0,3003.0,6.7
Vacation,31000000.0,54900000,464,13,871.0,3411.0,6.3
Fantastic Four,120000000.0,52700000,3524,20,7139.0,3995.0,4.0
Poltergeist,35000000.0,47400000,969,-5,2205.0,3240.0,5.0
Jupiter Ascending,176000000.0,47400000,565,0,1668.0,3181.0,5.5
The Age of Adaline,25000000.0,42500000,1005,11,3525.0,2991.0,7.3
Max,20000000.0,41900000,625,0,1842.0,2855.0,7.0
The Longest Ride,34000000.0,37400000,369,19,584.0,3366.0,7.2
The Gift,5000000.0,36100000,270,11,1105.0,1648.0,7.6
The Boy Next Door,4000000.0,35400000,913,16,1499.0,2602.0,4.6
Hot Pursuit,35000000.0,34500000,1111,2,1293.0,3003.0,5.0
The DUFF,8500000.0,34000000,2083,2,4102.0,2575.0,6.6
Woman in Gold,11000000.0,33300000,3,19,7.0,258.0,7.4
Entourage,30000000.0,32400000,314,6,634.0,3108.0,7.1
Paper Towns,12000000.0,31400000,459,6,1087.0,3031.0,6.9
The Lazarus Effect,3300000.0,25800000,691,7,2739.0,2666.0,5.2
Sinister 2,10000000.0,19000000,1885,-38,4360.0,2766.0,5.5
Ricki and the Flash,18000000.0,23500000,130,25,269.0,1603.0,6.1
Project Almanac,12000000.0,22300000,955,7,2787.0,2893.0,6.4
Hitman: Agent 47,35000000.0,16100000,3565,10,8578.0,3261.0,5.9
Dope,700000.0,16800000,3,2,28.0,2002.0,7.5
Hot Tub Time Machine 2,14000000.0,12300000,9,9,31.0,2880.0,5.1
American Ultra,28000000.0,10900000,32,21,189.0,2778.0,6.5
The Gunman,40000000.0,10600000,341,3,881.0,2816.0,5.8
Mortdecai,60000000.0,7610000,453,-2,1276.0,2648.0,5.5
Blackhat,70000000.0,7100000,340,4,714.0,2567.0,5.4
Me and Earl and the Dying Girl,8000000.0,6740000,302,15,1298.0,34.0,8.2
The Vatican Tapes,8495000.0,1710000,689,-2,772.0,420.0,4.5
Maggie,4500000.0,131000,600,10,2468.0,79.0,5.6
Americons,4000000.0,129000,28,0,14.0,14.0,7.3
Road Hard,1500000.0,106000,27,14,42.0,22.0,6.3
Ant-Man,130000000.0,169000000,2672,18,8359.0,3856.0,7.8
Southpaw,30000000.0,49500000,1383,6,4435.0,2772.0,7.7
Ex Machina,15000000.0,25400000,46,3,239.0,1255.0,7.7
The Man from U.N.C.L.E.,75000000.0,34600000,500,8,2300.0,3638.0,7.6
Cinderella,95000000.0,201000000,4245,2,5262.0,3845.0,7.1
Chappie,49000000.0,31600000,786,8,3481.0,3201.0,7.0
Brotherly Love,1900000.0,444000,293,0,700.0,200.0,6.9
Run All Night,50000000.0,26400000,480,3,1712.0,3171.0,6.6
The Second Best Exotic Marigold Hotel,10000000.0,33100000,99,26,247.0,1573.0,6.6
Child 44,50000000.0,1210000,641,4,1859.0,66.0,6.4
Aloha,37000000.0,21000000,1128,13,2290.0,2815.0,5.5
Unfinished Business,35000000.0,10200000,325,7,409.0,2777.0,5.4
War Room,3000000.0,12300000,67,10,201.0,2777.0,5.4
The Gallows,160000.00000000006,22600000,431,-5,606.0,2720.0,4.4
